,c2,ec2,c1,ec1,Weight,trueWeight,min,normalized,err
170,-0.0504,0.0332,2.942,1.6357,0.025322925,18.075877,,18.07937331,0.00349631
171,0.7919,0.1827,1.5871,1.4488,0.001993026,1.420517,,1.422926292,0.002409292
172,0.4049,0.0805,1.162,1.8776,0.002774811,1.98294,,1.981084086,0.001855914
173,0.5258,0.0328,0.3111,1.562,0.00190382,1.359965,,1.359237913,0.000727087
174,0.3319,0.0691,1.409,1.8673,0.003874391,2.76904,,2.766132235,0.002907765
175,0.1131,0.0978,3.4362,2.8856,0.010503337,7.529131,,7.498886991,0.030244009
176,0.161,0.0413,2.1701,1.1661,0.008902051,6.363544,,6.355644473,0.007899527
177,1.1699,0.1241,-1.1859,1.4467,0.007916751,5.68022,,5.65218656,0.02803344
178,0.3111,0.0463,1.6529,0.7948,0.004475934,3.199046,,3.195605446,0.003440554
179,0.1451,0.0447,1.8322,1.039,0.009557464,6.829544,,6.823578238,0.005965762
180,0.015,0.0059,2.5051,0.3203,0.013071651,9.357963,,9.332542281,0.025420719
181,0.1228,0.0264,1.3087,1.0011,0.010392962,7.424244,,7.420084173,0.004159827
182,0.7639,0.0951,-0.001,0.328,0.001635721,1.166879,,1.167827621,0.000948621
183,1.182,0.2102,-1.8099,0.3452,0.006440946,4.608783,,4.598531443,0.010251557
184,0.6352,0.0543,0.464,1.3149,0.001516843,1.082883,,1.082954268,7.12679E-05
185,0.9191,0.2239,0.8969,2.6002,0.002656339,1.893044,,1.896500469,0.003456469
186,0.4331,0.0826,1.573,1.0978,0.00250159,1.78702,,1.786017359,0.001002641
187,0.4624,0.0512,1.1653,0.8664,0.002254394,1.610454,,1.609530683,0.000923317
188,0.728,0.0938,0.0051,0.2555,0.00156467,1.116177,,1.11710056,0.00092356
189,0.5869,0.0747,0.635,1.49,0.001668703,1.190832,,1.191375015,0.000543015
190,0.4958,0.1078,1.7121,1.9892,0.002080168,1.484545,,1.485142,0.000597
191,0.9879,0.1445,-0.6061,0.8508,0.003291421,2.350046,,2.349919083,0.000126917
192,0.3799,0.0932,1.62,1.3989,0.003056307,2.184372,,2.182058851,0.002313149
193,1.0711,0.1581,-1.352,0.4558,0.004554971,3.256989,,3.252034416,0.004954584
194,0.7149,0.1079,0.3171,1.3354,0.001594947,1.13724,,1.138717096,0.001477096
195,0.873,0.0858,-0.4128,0.6122,0.002170198,1.549085,,1.549418754,0.000333754
