0.8381,0.0802,2.97,0.2,1.369404,,,,,,
0.9621,0.0821,2.55,0.19,2.273289,,,,,,
0.838,0.0939,2.98,0.23,1.381398,,,,,,
0.9031,0.0778,2.73,0.15,1.750164,,,,,,
0.726,0.0545,3.03,0.14,1.037885,,,,,,
0.6229,0.0541,2.82,0.16,1.104269,,,,,,
0.8599,0.0647,3.11,0.16,1.474006,,,,,,
0.5949,0.1196,3.06,0.18,1.229004,,,,,,
1.052,0.2284,3.23,0.57,2.730641,,,,,,
1.2671,0.1699,2.98,0.2,7.855916,,,,,,
0.9201,0.1321,3.45,0.32,1.834636,,,,,,
0.8261,0.1019,2.98,0.3,1.345234,,,,,,
1.091,0.2357,2.85,0.35,3.083898,,,,,,
0.7031,0.1306,3.29,0.51,1.18444,,,,,,
0.6968,0.1419,3.27,0.34,1.210025,,,,,,
0.3447,0.1129,2.45,0.45,2.489454,,,,,,
0.9721,0.1548,3.14,0.37,2.192385,,,,,,
0.5398,0.1557,4.35,1.07,1.404575,,,,,,
0.912,0.1885,2.94,0.4,1.815801,,,,,,
0.5179,0.1068,3.15,0.41,1.403756,,,,,,
0.5509,0.0988,2.73,0.33,1.297387,,,,,,
0.81,0.0748,2.98,0.17,1.252225,,,,,,
1.324,0.1999,2.82,0.24,9.146773,,,,,,
0.686,0.2174,3.71,0.85,1.414185,,,,,,
0.5939,0.0634,3.39,0.18,1.168963,,,,,,
0.6771,0.0945,2.89,0.34,1.10255,,,,,,
0.2907,0.0897,3.05,0.44,3.284459,,,,,,
0.4331,0.0476,2.94,0.14,1.765388,,,,,,
0.3509,0.0581,3.44,0.27,2.545671,,,,,,
0.6839,0.0445,3.56,0.13,1.016424,,,,,,
0.7611,0.1197,3.53,0.4,1.214879,,,,,,
0.832,0.1939,3.21,0.56,1.538125,,,,,,
0.5871,0.1068,3.84,0.31,1.222931,,,,,,
0.7469,0.2179,2.68,0.28,1.451244,,,,,,
0.7109,0.1327,3.35,0.45,1.192996,,,,,,
0.604,0.1806,3.35,0.62,1.34819,,,,,,
